Ticker,Strategy,Final Value,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades
SPY,CNN,18518.6429748535,85.186429748535,10.82095842123616,0.8206524172960589,-19.360874282350636,66.66666666666666,78
SPY,RSI,13994.526489257812,39.94526489257812,5.763905899417199,0.434859936395667,-27.79638675752824,80.0,5
SPY,MACD,18373.68542480468,83.7368542480468,10.675840347832732,0.9472885072459668,-15.024495656623488,75.75757575757575,66
SPY,SMA,19460.084930419922,94.60084930419922,11.74106429183066,0.773645361632382,-33.69155401794033,50.0,2
SPY,EMA_12_26,19988.11083984375,99.88110839843749,12.240999416711462,1.0179945099349565,-12.949980963212623,77.77777777777779,18
SPY,EMA_50,16366.610626220718,63.666106262207165,8.561561695765763,0.7431341259324451,-22.15129111154438,50.0,52
SPY,BB,12294.314071655266,22.943140716552655,3.5040985185865514,0.3491994667342827,-26.81501190401574,63.54679802955665,203
SPY,Buy & Hold,25817.046997070312,158.17046997070312,17.133860248702604,0.8994529022777344,-33.685484444105626,0.0,0
IWM,CNN,19800.413139343244,98.00413139343243,12.064561711979959,0.7303701925095651,-34.16566835665353,53.153153153153156,111
IWM,RSI,12424.102142333977,24.24102142333977,3.6854967552388374,0.28290246749707687,-35.89447967529297,40.0,5
IWM,MACD,16613.01989746093,66.1301989746093,8.832402253660977,0.5907048074887937,-30.459841053859844,63.33333333333333,60
IWM,SMA,7623.336471557619,-23.76663528442381,-4.424068040798767,-0.1446366480904463,-44.11908811322792,40.0,5
IWM,EMA_12_26,11506.167465209965,15.061674652099644,2.3669477577535902,0.22298074327140785,-33.302374112015045,59.25925925925925,27
IWM,EMA_50,12985.900321960466,29.859003219604663,4.452935664015811,0.3470592777970145,-35.55476471509936,50.74626865671642,67
IWM,BB,15005.450355529792,50.05450355529793,7.001103937689912,0.4871464610793656,-27.95226945607997,56.34517766497462,197
IWM,Buy & Hold,17669.624389648438,76.69624389648438,9.957125096901787,0.49954542616699016,-40.89588600706194,0.0,0
DIA,CNN,16656.68945312498,66.56689453124982,8.880051977186998,0.5936279281883927,-31.054902141969933,61.0,100
DIA,RSI,14236.502883911136,42.365028839111375,6.066661621774561,0.45902917755142886,-30.390161766635508,33.33333333333333,6
DIA,MACD,17474.145614624027,74.74145614624028,9.753348887639035,0.9205599993484945,-13.389866122507787,73.33333333333333,60
DIA,SMA,13755.71910095215,37.5571910095215,5.460807820263991,0.4166528318864636,-36.22784468035096,50.0,2
DIA,EMA_12_26,13994.502059936525,39.94502059936524,5.7638751144927225,0.5509517927354265,-12.84829309903324,63.63636363636363,22
DIA,EMA_50,14956.619644165032,49.56619644165032,6.942964749374125,0.6589474507795043,-16.58163944787675,69.64285714285714,56
DIA,BB,14491.859512329114,44.91859512329115,6.381543417831925,0.6064062932410895,-19.12621831370819,59.473684210526315,190
DIA,Buy & Hold,20430.34716796875,104.30347167968752,12.65131048484287,0.7123395423092235,-36.49653866947154,0.0,0
