Ticker,Year,Class,Precision,Recall,F1-Score,Support
XLP,2019,BUY,0.7,0.7777777777777778,0.7368421052631579,18.0
XLP,2019,HOLD,0.9759615384615384,0.9227272727272727,0.9485981308411215,220.0
XLP,2019,SELL,0.5416666666666666,0.9285714285714286,0.6842105263157895,14.0
XLP,2020,BUY,0.5333333333333333,0.5,0.5161290322580645,16.0
XLP,2020,HOLD,0.9457013574660633,0.9414414414414415,0.9435665914221218,222.0
XLP,2020,SELL,0.6470588235294118,0.7333333333333333,0.6875,15.0
XLP,2021,BUY,0.4583333333333333,0.8461538461538461,0.5945945945945946,13.0
XLP,2021,HOLD,0.9711538461538461,0.905829596412556,0.9373549883990719,223.0
XLP,2021,SELL,0.6,0.75,0.6666666666666666,16.0
XLP,2022,BUY,0.5,0.6666666666666666,0.5714285714285714,12.0
XLP,2022,HOLD,0.9502262443438914,0.9292035398230089,0.9395973154362416,226.0
XLP,2022,SELL,0.42857142857142855,0.46153846153846156,0.4444444444444444,13.0
XLP,2023,BUY,0.625,0.5263157894736842,0.5714285714285714,19.0
XLP,2023,HOLD,0.9441860465116279,0.9441860465116279,0.9441860465116279,215.0
XLP,2023,SELL,0.6842105263157895,0.8125,0.7428571428571429,16.0
XLP,2024,BUY,0.5,0.5,0.5,16.0
XLP,2024,HOLD,0.9357798165137615,0.9315068493150684,0.9336384439359268,219.0
XLP,2024,SELL,0.5882352941176471,0.625,0.6060606060606061,16.0
